x y Depth Vs
457.3858 284.1479 59.1 4.704
457.3858 284.1479 59.2 4.704
457.3858 284.1479 59.3 4.704
457.3858 284.1479 59.4 4.704
457.3858 284.1479 59.5 4.704
457.3858 284.1479 59.6 4.704
457.3858 284.1479 59.7 4.704
457.3858 284.1479 59.8 4.704
457.3858 284.1479 59.9 4.704
457.3858 284.1479 60.0 4.704
457.3858 284.1479 60.1 4.704
457.3858 284.1479 60.2 4.704
457.3858 284.1479 60.3 4.704
457.3858 284.1479 60.4 4.704
457.3858 284.1479 60.5 4.704
457.3858 284.1479 60.6 4.704
457.3858 284.1479 60.7 4.704
457.3858 284.1479 60.8 4.704
457.3858 284.1479 60.9 4.704
457.3858 284.1479 61.0 4.704
457.3858 284.1479 61.1 4.704
457.3858 284.1479 61.2 4.704
457.3858 284.1479 61.3 4.704
457.3858 284.1479 61.4 4.704
457.3858 284.1479 61.5 4.704
457.3858 284.1479 61.6 4.704
457.3858 284.1479 61.7 4.704
457.3858 284.1479 61.8 4.704
457.3858 284.1479 61.9 4.704
457.3858 284.1479 62.0 4.704
457.3858 284.1479 62.1 4.704
457.3858 284.1479 62.2 4.704
457.3858 284.1479 62.3 4.704
457.3858 284.1479 62.4 4.704
457.3858 284.1479 62.5 4.704
457.3858 284.1479 62.6 4.704
457.3858 284.1479 62.7 4.704
457.3858 284.1479 62.8 4.704
457.3858 284.1479 62.9 4.704
457.3858 284.1479 63.0 4.704
457.3858 284.1479 63.1 4.704
457.3858 284.1479 63.2 4.704
457.3858 284.1479 63.3 4.704
457.3858 284.1479 63.4 4.704
457.3858 284.1479 63.5 4.704
457.3858 284.1479 63.6 4.704
457.3858 284.1479 63.7 4.704
457.3858 284.1479 63.8 4.704
457.3858 284.1479 63.9 4.704
457.3858 284.1479 64.0 4.704
457.3858 284.1479 64.1 4.704
457.3858 284.1479 64.2 4.704
457.3858 284.1479 64.3 4.704
457.3858 284.1479 64.4 4.704
457.3858 284.1479 64.5 4.704
457.3858 284.1479 64.6 4.704
457.3858 284.1479 64.7 4.704
457.3858 284.1479 64.8 4.704
457.3858 284.1479 64.9 4.704
457.3858 284.1479 65.0 4.704
457.3858 284.1479 65.1 4.704
457.3858 284.1479 65.2 4.704
457.3858 284.1479 65.3 4.704
457.3858 284.1479 65.4 4.704
457.3858 284.1479 65.5 4.704
457.3858 284.1479 65.6 4.704
457.3858 284.1479 65.7 4.704
457.3858 284.1479 65.8 4.704
457.3858 284.1479 65.9 4.704
457.3858 284.1479 66.0 4.704
457.3858 284.1479 66.1 4.704
457.3858 284.1479 66.2 4.704
457.3858 284.1479 66.3 4.704
457.3858 284.1479 66.4 4.704
457.3858 284.1479 66.5 4.704
457.3858 284.1479 66.6 4.704
457.3858 284.1479 66.7 4.704
457.3858 284.1479 66.8 4.704
457.3858 284.1479 66.9 4.704
457.3858 284.1479 67.0 4.704
457.3858 284.1479 67.1 4.704
457.3858 284.1479 67.2 4.704
457.3858 284.1479 67.3 4.704
457.3858 284.1479 67.4 4.704
457.3858 284.1479 67.5 4.704
457.3858 284.1479 67.6 4.704
457.3858 284.1479 67.7 4.704
457.3858 284.1479 67.8 4.704
457.3858 284.1479 67.9 4.704
457.3858 284.1479 68.0 4.704
457.3858 284.1479 68.1 4.704
457.3858 284.1479 68.2 4.704
457.3858 284.1479 68.3 4.704
457.3858 284.1479 68.4 4.704
457.3858 284.1479 68.5 4.704
457.3858 284.1479 68.6 4.704
457.3858 284.1479 68.7 4.704
457.3858 284.1479 68.8 4.704
457.3858 284.1479 68.9 4.704
457.3858 284.1479 69.0 4.704
457.3858 284.1479 69.1 4.704
457.3858 284.1479 69.2 4.704
457.3858 284.1479 69.3 4.704
457.3858 284.1479 69.4 4.704
457.3858 284.1479 69.5 4.704
457.3858 284.1479 69.6 4.704
457.3858 284.1479 69.7 4.704
457.3858 284.1479 69.8 4.704
457.3858 284.1479 69.9 4.704
457.3858 284.1479 70.0 4.704
377.1782 236.9011 -6.0 3.491
377.1782 236.9011 -5.9 3.491
377.1782 236.9011 -5.8 3.491
377.1782 236.9011 -5.7 3.491
377.1782 236.9011 -5.6 3.491
377.1782 236.9011 -5.5 3.491
377.1782 236.9011 -5.4 3.491
377.1782 236.9011 -5.3 3.491
377.1782 236.9011 -5.2 3.491
